Month,Grocery,Produce,Dairy,Kitchen,Beverage,Frozen,Bakery,Deli,Meat,Cheese,Beer,Sushi,Meat Pre-Packed,Pre-Priced Bread,Nuts,Fish,Salad Bar,Pre-Priced Chips and Cookies,Flower,Total Sales,COGS,Payroll,,
Jan-22,"127,940.31","111,252.72","78,734.07","74,338.08","45,426.95","33,424.95","30,341.47","24,062.51","21,121.84","16,917.37","16,766.49","12,708.54","7,146.68","4,935.20","4,767.24","3,745.16","2,757.60","2,182.76","2,127.83","620,697.77","349,729.74","115,074.89",,
Feb-22,"110,461.08","95,605.00","67,158.28","66,174.76","47,270.67","30,109.50","30,024.95","21,237.89","13,787.16","17,105.36","18,661.71","15,407.23","7,760.25","4,313.81","4,155.00","3,174.74","2,889.30","2,626.13","4,164.33","562,087.15","273,365.85","273,365.85",,
Mar-22,"110,755.89","99,144.25","69,693.93","70,379.39","51,868.43","29,916.43","34,415.44","25,409.00","11,604.61","18,160.93","19,692.24","18,197.96","8,274.30","3,728.13","4,696.82","3,952.55","3,883.53","4,011.51","6,137.58","592,922.92","276,739.49","109,169.43",,
Apr-22,"99,747.40","94,397.17","66,737.73","70,098.90","51,263.61","29,204.13","32,356.83","23,677.48","10,781.89","18,131.20","19,185.82","16,502.38","6,880.59","3,228.32","6,068.33","3,260.77","4,164.70","2,326.35","8,412.48","566,462.08","335,438.90","146,030.78",,
May-22,"100,082.51","93,736.78","67,579.50","71,483.23","54,651.88","32,502.94","33,106.54","30,167.68","10,803.90","16,557.12","19,659.49","17,025.40","7,659.81","3,480.92","6,015.76","2,923.75","4,966.64","3,170.29","8,407.50","583,981.64","303,029.18","115,106.90",,
Jun-22,"94,701.89","89,108.38","62,463.15","72,612.17","56,606.12","32,534.94","32,162.16","29,353.48","10,906.58","15,797.86","20,187.89","17,519.57","7,872.33","3,021.33","5,890.62","2,311.65","6,609.84","3,135.39","4,860.02","567,655.37","266,725.90","113,909.27",,
Jul-22,"92,961.59","84,497.27","59,690.93","66,649.71","60,667.16","29,463.93","29,922.08","26,160.37","9,544.20","17,030.14","20,892.95","18,277.16","8,114.48","3,238.83","5,718.45","2,023.87","5,772.45","3,062.14","4,082.39","547,770.10","302,866.37","145,283.41",,
Aug-22,"96,827.02","85,582.99","59,475.43","69,562.10","58,078.97","29,915.49","30,729.63","24,066.49","9,317.75","16,105.79","18,565.80","20,398.44","7,456.17","3,430.10","5,505.09","2,519.33","6,228.25","2,859.66","2,812.79","549,437.29","292,907.55","113,171.46",,
Sep-22,"102,783.97","82,976.99","66,818.36","68,661.15","58,725.33","32,057.18","32,989.85","25,369.25","10,698.50","16,870.59","20,433.34","18,946.80","8,747.27","3,665.24","6,485.80","2,498.50","6,253.38","3,631.03","3,357.63","571,970.16","301,632.48","149,448.34",,
Oct-22,"114,825.17","87,097.29","70,497.87","69,661.94","59,562.81","33,482.21","35,782.99","25,244.79","11,924.24","18,846.42","22,693.75","18,714.52","8,480.63","3,670.30","6,965.42","2,830.28","6,007.53","5,001.75","4,542.55","605,832.46","310,033.93","119,064.13",,
Nov-22,"115,066.23","81,375.59","68,766.72","74,744.28","54,779.56","30,983.38","38,174.48","24,772.35","11,595.40","19,380.17","18,268.03","16,031.54","7,792.65","3,834.82","6,773.44","1,825.34","5,859.42","4,285.19","4,816.93","589,125.52","297,257.74","113,085.18",,
Dec-22,"113,422.56","83,162.86","63,162.16","75,171.83","56,865.81","28,406.54","37,254.37","25,530.87","10,879.46","22,333.34","20,257.65","15,963.04","7,886.46","4,136.80","6,161.23","2,520.33","3,054.18","4,779.28","3,473.37","584,422.14","273,071.69","148,510.98",,
Jan-23,"113,349.35","89,919.57","68,930.41","72,211.37","59,878.48","32,630.50","36,261.40","23,755.41","13,039.97","18,756.65","17,005.07","16,988.19","8,480.38","4,067.21","6,314.94","3,173.67","2,987.11","4,551.57","3,201.21","595,502.46","345,173.07","122,081.01",,
Feb-23,"104,767.62","73,758.57","60,014.30","66,753.82","52,674.94","30,858.91","36,030.31","24,717.70","11,279.03","16,367.02","17,491.52","16,390.96","6,552.65","3,506.21","5,584.32","2,319.08","2,820.51","5,114.60","6,263.10","543,365.17","273,816.88","119,108.90",,
Mar-23,"117,263.53","82,533.78","64,553.84","74,924.48","52,650.20","34,478.64","40,011.19","26,265.36","10,971.81","16,629.94","17,936.97","17,651.10","7,488.97","3,750.15","6,631.01","2,517.16","2,930.33","4,849.07","5,800.35","589,837.88","254,099.85","148,510.79",,
Apr-23,"113,908.59","83,700.11","63,045.78","71,264.08","53,176.83","31,017.46","36,611.14","24,450.85","10,720.40","16,868.31","19,216.28","20,789.41","7,432.62","3,637.70","6,346.25","2,518.98","3,166.81","4,331.21","5,571.15","577,773.96","392,566.87","121,351.69",,
May-23,"116,473.47","86,240.54","61,236.56","72,412.02","57,417.59","32,866.87","38,241.45","26,579.02","10,512.99","17,243.65","20,089.59","21,110.13","7,027.36","3,415.66","6,157.55","2,807.74","3,119.32","4,272.70","7,257.05","594,481.26","273,006.18","120,625.58",,
Jun-23,"105,531.02","78,082.94","55,831.48","70,077.77","56,168.50","29,932.34","35,111.60","27,930.47","9,694.91","16,588.57","21,155.97","20,073.17","6,687.74","3,251.97","5,317.47","2,023.02","3,487.59","3,992.30","2,630.81","553,569.64","275,117.56","148,902.33",,
Jul-23,"104,665.61","80,376.74","57,182.72","68,355.19","60,570.70","30,082.26","32,976.76","25,086.88","7,999.76","15,268.50","21,985.60","19,500.90","6,295.01","3,048.12","5,450.30","1,478.84","2,957.85","4,843.05","1,380.96","549,505.75","282,652.87","120,032.30",,
Aug-23,"104,646.45","75,318.73","56,020.78","69,957.76","57,721.13","29,715.92","34,910.26","24,400.72","8,983.23","15,666.28","20,992.75","20,228.09","6,308.40","3,363.76","5,343.48","2,095.89","3,128.63","5,170.88","1,773.08","545,746.22","275,157.15","119,038.76",,
Sep-23,"122,497.41","82,456.00","65,025.72","71,695.06","55,895.52","32,045.30","37,382.76","25,007.91","10,069.32","17,306.08","20,055.01","19,726.20","7,282.85","3,521.82","5,987.24","1,952.03","3,149.78","5,559.57","2,562.54","589,178.12","247,317.31","146,508.29",,
Oct-23,"132,194.59","87,503.97","69,870.24","75,178.56","58,724.56","33,673.12","43,097.34","27,365.81","10,722.30","18,422.12","21,173.20","18,325.53","7,774.68","3,612.19","6,533.85","2,168.84","3,553.43","4,827.78","2,162.26","626,884.37","352,123.02","122,117.34",,
Nov-23,"120,714.24","76,101.07","64,823.06","80,381.53","51,252.45","30,320.11","45,697.92","22,959.29","10,232.16","18,097.98","17,436.59","16,436.80","7,606.53","3,514.56","6,266.64","2,033.07","2,851.24","6,035.83","3,114.15","585,875.22","267,605.35","125,375.81",,
Dec-23,"120,517.14","75,299.05","63,113.92","74,229.30","53,845.79","29,616.15","40,580.84","23,463.57","9,951.21","19,316.50","20,966.57","15,805.78","7,068.25","3,292.38","6,326.59","1,847.21","2,504.14","5,671.65","3,143.05","576,559.09","262,945.74","162,004.36",,
Jan-24,"113,439.35","86,519.57","67,530.41","79,211.37","52,578.48","38,730.50","33,461.40","25,455.41","16,639.97","18,744.65","19,805.07","18,988.19","8,780.38","4,567.21","6,714.94","3,873.67","3,987.11","49,951.57","3,701.21","652,680.46","345,173.07","122,081.01",,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,